text,tweet_text
Why do we even have to scream black lives matter as if black and brown people aren’t human... whose responsible?,Why do we even have to scream black lives matter as if black and brown people aren't human... whose responsible?
We Are George Floyd according to @LILBTHEBASEDGOD We Want Justice We Need Love F*ck Rascim Stop Hurting The Innocents #BlackLivesMatter #WeWantJustice,We Are George Floyd according to  We Want Justice We Need Love F*ck Rascim Stop Hurting The Innocents Black Lives Matter We Want Justice
#SayHerName #BlackLivesMatter #SheMatters #JusticeforBreonnaTaylor,Say Her Name Black Lives Matter She Matters Justicefor Breonna Taylor
This is why we protest. This is all you need to know about our great racial divide. Say it loud for the ppl in the cheap seats. #GeorgeFloyd ,This is why we protest. This is all you need to know about our great racial divide. Say it loud for the ppl in the cheap seats. George Floyd 
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/pvDZNB2Q via @Change,Mayor Jacob Frey: Justice for George Floyd - Sign the Petition!  via 
My man @JohnBoyega still out here protecting the block!! #YouLoveToSeeIt !!! #BlackLivesMatter,My man  still out here protecting the block!! You Love To See It !!! Black Lives Matter
 we are all one race. The Human Race! I pray for those who have been misguided in this by perpetrating violence. Violence doesn’t honor George Floyd’s life. MLKJR would not have protested this way., we are all one race. The Human Race! I pray for those who have been misguided in this by perpetrating violence. Violence doesn't honor George floyd is life. MLKJR would not have protested this way.
I Am George Floyd was a very powerful message by Lil B as he's calling names to the ones who got shot and killed by the police that didn't deserve to die Pay Attention It's Time To Wake Up Fight For Your Rights Raise Your Voice And Don't Be Afraid @LILBTHEBASEDGOD #BLM ,I Am George Floyd was a very powerful message by Lil B as he is calling names to the ones who got shot and killed by the police that didn't deserve to die Pay Attention it is Time To Wake Up Fight For Your Rights Raise Your Voice And Don't Be Afraid  BLM 
"Does anyone have an @TheAthletic account so I can read this? They need to make all articles related to Black Lives Matter free, the same way other news outlets make coronavirus info free #Hokies","Does anyone have an  account so I can read this? They need to make all articles related to Black Lives Matter free, the same way other news outlets make coronavirus info free Hokies"
Yes. This is a must watch video. #BLM #BlackLivesMatter ,Yes. This is a must watch video. BLM Black Lives Matter 
BLACK LIVES MATTER!! ,BLACK LIVES MATTER!! 
The hypocrisy in what you just said proves you care about the injustice of certain agenda aligning black lives when all black lives matter.,The hypocrisy in what you just said proves you care about the injustice of certain agenda aligning black lives when all black lives matter.
"I’ve been speaking about police brutality for a bit now everyday begin a black male in America #BlackLivesMatter #Linkinbio @Pittsburgh, Pennsylvania https://www.instagram.com/p/CBApsvdFXwl/?igshid=1849i3p22cuig",i have been speaking about police brutality for a bit now everyday begin a black male in America Black Lives Matter Linkinbio  Pennsylvania 
"Remember when Jerrod Carmichael said “Jay-z means more to me than Martin Luther King” some were offended but I whole heartedly felt it. In that same context and tone, could Colin Kaepernick and #GeorgeFloyd be two of the most important Black Men/Martyrs in our change for history?","Remember when Jerrod Carmichael said ""Jay-z means more to me than Martin Luther King"" some were offended but I whole heartedly felt it. In that same context and tone, could Colin Kaepernick and George Floyd be two of the most important Black Men/Martyrs in our change for history?"
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/w9vdswXq via @Change,Mayor Jacob Frey: Justice for George Floyd - Sign the Petition!  via 
What an a** Meghan McCain Responded After Her Neighbor Called Her Out For Making False Claims About The Black Lives Matter Protests In New York ,What an a** Meghan McCain Responded After Her Neighbor Called Her Out For Making False Claims About The Black Lives Matter Protests In New York 
"""Overall, in 2019, 24 percent of all police killings were of black Americans when just 13 percent of the U.S. population is black – an 11-point discrepancy."" #BlackLivesMatter ","""Overall, in 2019, 24 percent of all police killings were of black Americans when just 13 percent of the U.S. population is black – an 11-point discrepancy."" Black Lives Matter "
Watch Barack Obama's full speech on the George Floyd protests in the Uni... https://youtu.be/0ui923iXlKU via @YouTube like him or not - support him or not — @BarackObama is addressing the issues of our day,Watch Barack obama is full speech on the George Floyd protests in the Uni...  via  like him or not - support him or not —  is addressing the issues of our day
Wow !! This aged well #BlackLivesMatter #ImWithKap,Wow !! This aged well Black Lives Matter Im With Kap
These Covid cases about to skyrocket after the protest/riots! It’s still #BlackLivesMatter tho #COVID,These Covid cases about to skyrocket after the protest/riots! it is still Black Lives Matter tho COVID
@tiktok_us is part of the problem #BlackLivesMatter people should STOP using the platform now, is part of the problem Black Lives Matter people should STOP using the platform now
my heart has been extremely heavy lately and I just needed to vent out how I feel. love you all : _.r.o.d.__ #blacklivesmatter @New Jersey https://www.instagram.com/p/CBAr9m4A3G7/?igshid=3kkzrjbffy8x,my heart has been extremely heavy lately and I just needed to vent out how I feel. love you all : _.r.o.d.__ blacklivesmatter  Jersey 
I don’t agree with @TomiLahren but I can’t say that I hate her for voicing her own opinions and beliefs. There’s already to much hate going on in this world and that’s why the #BlackLivesMatter movement is happening. But a video came up on my timeline and,I don't agree with  but I can't say that I hate her for voicing her own opinions and beliefs. there is already to much hate going on in this world and that is why the Black Lives Matter movement is happening. But a video came up on my timeline and
"The same people that were just calling these protesters poor, are making post about being proud to be black and loving their people. POOR black lives matter too. Your “Black pride” is performative sis ","The same people that were just calling these protesters poor, are making post about being proud to be black and loving their people. POOR black lives matter too. Your ""Black pride"" is performative sis "
A rising star. #BlackLivesMatter ,A rising star. Black Lives Matter 
#TrumpOut2020 #BlackLivesMatter ,Trump Out2020 Black Lives Matter 
@georgefloyd was a bad dude who went to prison 9 times and actually threatened a pregnant woman! Why are we making him a martyr? Trillions in damage for what?? , was a bad dude who went to prison 9 times and actually threatened a pregnant woman! Why are we making him a martyr? Trillions in damage for what?? 
@drewbrees You undid all the wonderful things you’ve done for so many in an instant. #WhitePrivilege #DrewBreesIsCancelled #BlackLivesMatter, You undid all the wonderful things you have done for so many in an instant. White Privilege Drew Brees Is Cancelled Black Lives Matter
Anyone who values a piece of cloth more than the lives of their fellow citizens doesn’t really love America — not really. cc @drewbrees #BlackLivesMatter,Anyone who values a piece of cloth more than the lives of their fellow citizens doesn't really love America — not really. cc  Black Lives Matter
"Please watch, listen, share, and implement. #Facts #BLM #BlackLivesMatter #PatriotAct","Please watch, listen, share, and implement. Facts BLM Black Lives Matter Patriot Act"
He went in! #BlackLivesMatter ,He went in! Black Lives Matter 
My niece @avery_pannell has pretty much summarized the thoughts and lives of more than 1/2 of black America! Well said babygirl!! Thank you!! All Lives will matter ONLY WHEN #BlackLivesMatter ,My niece  has pretty much summarized the thoughts and lives of more than 1/2 of black America! Well said babygirl!! Thank you!! All Lives will matter ONLY WHEN Black Lives Matter 
Are you listening yet? #BlackLivesMatter ,Are you listening yet? Black Lives Matter 
I always find it funny how big corporations embrace PRIDE month and speaking out about LGBTQ rights but have to consider things more carefully when they speak out about Black Lives Matter and Racism. #BlackLivesMatter ,I always find it funny how big corporations embrace PRIDE month and speaking out about LGBTQ rights but have to consider things more carefully when they speak out about Black Lives Matter and Racism. Black Lives Matter 
Let’s talk about it. #BlackLivesMatter #JusticeforGeorgeFloyd #EqualityForAll #BLM #blacklifematters #GeorgeFloyd,let is talk about it. Black Lives Matter Justicefor George Floyd Equality For All BLM blacklifematters George Floyd
June 4th is #TiananmenSquareMassacre Day. This is how the world sees us. No deploying our own troop against the civilians. #BlackLivesMatter ,June 4th is Tiananmen Square Massacre Day. This is how the world sees us. No deploying our own troop against the civilians. Black Lives Matter 
When you lose the Generals... #BlackLivesMatter #TrumpOut2020 #TrumpVirus2020,When you lose the Generals... Black Lives Matter Trump Out2020 Trump Virus2020
"I went to the @womensmarch in 2017. They never deployed the military. That, my friends, is white privilege. #BlackLivesMatter ","I went to the  in 2017. They never deployed the military. That, my friends, is white privilege. Black Lives Matter "
Personal perspective from @nateburleson on @gmfb today. Powerful and heartfelt. #BlackLivesMatter #USNavy,Personal perspective from  on  today. Powerful and heartfelt. Black Lives Matter U S Navy
