text,tweet_text
We won’t be silent no more #BlackLivesMatter #2020Protests #juneteenth2020,We won't be silent no more Black Lives Matter 2020Protests juneteenth2020
Proud to support this strong leader to be our next state rep. Not afraid to call out the murder of George Floyd at the hands of those paid to protect him. Also not afraid to call out PA House GOP leadership for endangering lives for partisanship. #LeadershipMatters #Nancy4PA152,Proud to support this strong leader to be our next state rep. Not afraid to call out the murder of George Floyd at the hands of those paid to protect him. Also not afraid to call out PA House GOP leadership for endangering lives for partisanship. Leadership Matters Nancy4 P A152
"It should never be ""my country: right or wrong"" - it should be ""my country: fix what's wrong"" and right now that's a lot, I'm not a politician, I'm not an influncer, I'm a guy from a small town saying ""I see it and how can I help"" #BlackLivesMatter #saveblacklives","It should never be ""my country: right or wrong"" - it should be ""my country: fix what is wrong"" and right now that is a lot, i am not a politician, i am not an influncer, i am a guy from a small town saying ""I see it and how can I help"" Black Lives Matter saveblacklives"
I understand that but what’s at work right now has nothing to do with George Floyd may he rest in peace or police brutality. This has to do with other forces trying to destroy everything this country stands for.,I understand that but what is at work right now has nothing to do with George Floyd may he rest in peace or police brutality. This has to do with other forces trying to destroy everything this country stands for.
"Our Wreck-it-Ralph @RalphNortham Governor of Va sure dictated total control when in the midst of #COVID19 pandemic, but now is letting rioters &amp; looters run wild in Richmond to “get out their emotions” as the now Democrat mantra goes. #GeorgeFloyd #AmericaStrong ","Our Wreck-it-Ralph  Governor of Va sure dictated total control when in the midst of COVID19 pandemic, but now is letting rioters &amp; looters run wild in Richmond to ""get out their emotions"" as the now Democrat mantra goes. George Floyd America Strong "
"Scenes across America: White people encouraging black folks to use violence, setting up pallets of bricks, rocks. I question their motives. Are they trying to make things worse? Trying to get them killed? #GeorgeFloyd #GeorgeFloydProtests #BLM #BlackLivesMatter","Scenes across America: White people encouraging black folks to use violence, setting up pallets of bricks, rocks. I question their motives. Are they trying to make things worse? Trying to get them killed? George Floyd George FloydProtests BLM Black Lives Matter"
@realDonaldTrump YOU NEED TO ACT AND NOT APPARENTLY HIDE IN A BUNKER THAT IS BEING REPORTED. YOU NEED TO FIGHT THESE THUGS DAMAGING THE LIVES OF THE INNOCENT. If this were about George Floyd it would have ended with his brother's call for peace. ACT TOUGH LIKE YOU SAY YOU ARE., YOU NEED TO ACT AND NOT APPARENTLY HIDE IN A BUNKER THAT IS BEING REPORTED. YOU NEED TO FIGHT THESE THUGS DAMAGING THE LIVES OF THE INNOCENT. If this were about George Floyd it would have ended with his brother is call for peace. ACT TOUGH LIKE YOU SAY YOU ARE.
"PSA “What happened to George Floyd is wrong, but...” = “I know George Floyd is innocent and was murdered for being black, but...” #Blacklivesmatter #GeorgeFloyd","PSA ""What happened to George Floyd is wrong, but..."" = ""I know George Floyd is innocent and was murdered for being black, but..."" Blacklivesmatter George Floyd"
"UPTOWN NYC FRIENDS: Join your community with @MartiGCummings to protest police brutality in our City tomorrow, June 2nd. Information below, DM me if you have questions! Take action, show your support, join us #BlackLivesMatter #GeorgeFloyd #protests2020","UPTOWN NYC FRIENDS: Join your community with  to protest police brutality in our City tomorrow, June 2nd. Information below, DM me if you have questions! Take action, show your support, join us Black Lives Matter George Floyd protests2020"
George Floyd is the catalyst but this is bigger than him we need assurances going forward that this type of behavior oil change and not be tolerated,George Floyd is the catalyst but this is bigger than him we need assurances going forward that this type of behavior oil change and not be tolerated
