"tweet_id";"permalink";"username";"to_person";"text";"tweet_created_dt";"retweets";"favorites";"mentions";"hashtags";"geo";"record_inserted_date";"state";"radius";"search_keyword"
"1268486978460356608";"https://twitter.com/AmeerNatson/status/1268486978460356608";"AmeerNatson";"";"Why do we even have to scream black lives matter as if black and brown people aren’t human... whose responsible?";"2020-06-04 10:17:17";"0";"4";"";"";"";"2020-07-30 11:54:31";"District of Columbia";"200mi";"BlackLivesMatter"
"1268488500262981632";"https://twitter.com/BroGod4Life/status/1268488500262981632";"BroGod4Life";"";"We Are George Floyd according to @LILBTHEBASEDGOD We Want Justice We Need Love F*ck Rascim Stop Hurting The Innocents #BlackLivesMatter #WeWantJustice";"2020-06-04 10:23:20";"0";"1";"@LILBTHEBASEDGOD";"#BlackLivesMatter #BlackLivesMatter #WeWantJustice";"";"2020-07-29 09:39:26";"Washington, D.C";"100mi";"georgesfloyd"
"1268488516792651777";"https://twitter.com/ebonyajohnson/status/1268488516792651777";"ebonyajohnson";"";"#SayHerName #BlackLivesMatter #SheMatters #JusticeforBreonnaTaylor";"2020-06-04 10:23:24";"0";"1";"";"#SayHerName #BlackLivesMatter #BlackLivesMatter #SheMatters #JusticeforBreonnaTaylor";"";"2020-07-30 11:54:31";"District of Columbia";"200mi";"BlackLivesMatter"
"1268489371268845568";"https://twitter.com/justgeorgeIII/status/1268489371268845568";"justgeorgeIII";"lynnv378";"This is why we protest. This is all you need to know about our great racial divide. Say it loud for the ppl in the cheap seats. #GeorgeFloyd ";"2020-06-04 10:26:48";"0";"0";"";"#GeorgeFloyd";"";"2020-07-30 12:10:20";"District of Columbia";"200mi";"georgesfloyd"
"1268490312688766976";"https://twitter.com/KevinZCox/status/1268490312688766976";"KevinZCox";"";"Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/pvDZNB2Q via @Change";"2020-06-04 10:30:32";"0";"0";"@Change";"";"";"2020-07-30 12:10:20";"District of Columbia";"200mi";"georgesfloyd"
"1268490368124964865";"https://twitter.com/look_its_ash/status/1268490368124964865";"look_its_ash";"YourAnonCentral";"#HisnameisJustinHowell #BlackLivesMatter ";"2020-06-04 10:30:45";"0";"0";"";"#HisnameisJustinHowell #BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 09:34:41";"Washington, D.C";"100mi";"BlackLivesMatter"
"1268490569493422080";"https://twitter.com/4loko_LaFlare/status/1268490569493422080";"4loko_LaFlare";"";"My man @JohnBoyega still out here protecting the block!! #YouLoveToSeeIt !!! #BlackLivesMatter";"2020-06-04 10:31:33";"0";"0";"@JohnBoyega";"#YouLoveToSeeIt #BlackLivesMatter #BlackLivesMatter";"";"2020-07-30 11:54:31";"District of Columbia";"200mi";"BlackLivesMatter"
"1268491146428375041";"https://twitter.com/HalkerAna/status/1268491146428375041";"HalkerAna";"NYPDShea";" we are all one race. The Human Race! I pray for those who have been misguided in this by perpetrating violence. Violence doesn’t honor George Floyd’s life. MLKJR would not have protested this way.";"2020-06-04 10:33:51";"0";"0";"";"";"";"2020-07-30 12:10:20";"District of Columbia";"200mi";"georgesfloyd"
"1268491173179592706";"https://twitter.com/BroGod4Life/status/1268491173179592706";"BroGod4Life";"";"I Am George Floyd was a very powerful message by Lil B as he's calling names to the ones who got shot and killed by the police that didn't deserve to die Pay Attention It's Time To Wake Up Fight For Your Rights Raise Your Voice And Don't Be Afraid @LILBTHEBASEDGOD #BLM ";"2020-06-04 10:33:57";"0";"1";"@LILBTHEBASEDGOD";"#BLM";"";"2020-07-29 09:39:26";"Washington, D.C";"100mi";"georgesfloyd"
"1268492397878657024";"https://twitter.com/sfdvt/status/1268492397878657024";"sfdvt";"mattschneidman";"Does anyone have an @TheAthletic account so I can read this? They need to make all articles related to Black Lives Matter free, the same way other news outlets make coronavirus info free #Hokies";"2020-06-04 10:38:49";"0";"0";"@TheAthletic";"#Hokies";"";"2020-07-30 11:54:31";"District of Columbia";"200mi";"BlackLivesMatter"
"1268492438273998848";"https://twitter.com/crys78/status/1268492438273998848";"crys78";"hasanminhaj";"Yes. This is a must watch video. #BLM #BlackLivesMatter ";"2020-06-04 10:38:59";"0";"0";"";"#BLM #BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 09:34:41";"Washington, D.C";"100mi";"BlackLivesMatter"
"1268492552031920128";"https://twitter.com/stefanyrv22/status/1268492552031920128";"stefanyrv22";"";"BLACK LIVES MATTER!! ";"2020-06-04 10:39:26";"0";"1";"";"";"";"2020-07-29 09:34:41";"Washington, D.C";"100mi";"BlackLivesMatter"
"1268492683850506241";"https://twitter.com/anips14/status/1268492683850506241";"anips14";"A__Tier";"The hypocrisy in what you just said proves you care about the injustice of certain agenda aligning black lives when all black lives matter.";"2020-06-04 10:39:57";"0";"0";"";"";"";"2020-07-30 11:54:31";"District of Columbia";"200mi";"BlackLivesMatter"
"1268493013891702784";"https://twitter.com/mop_lucky/status/1268493013891702784";"mop_lucky";"";"I’ve been speaking about police brutality for a bit now everyday begin a black male in America #BlackLivesMatter #Linkinbio @Pittsburgh, Pennsylvania https://www.instagram.com/p/CBApsvdFXwl/?igshid=1849i3p22cuig";"2020-06-04 10:41:16";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter #Linkinbio";"";"2020-07-30 11:54:31";"District of Columbia";"200mi";"BlackLivesMatter"
"1268493110331441156";"https://twitter.com/PenroseEames/status/1268493110331441156";"PenroseEames";"";"Remember when Jerrod Carmichael said “Jay-z means more to me than Martin Luther King” some were offended but I whole heartedly felt it. In that same context and tone, could Colin Kaepernick and #GeorgeFloyd be two of the most important Black Men/Martyrs in our change for history?";"2020-06-04 10:41:39";"0";"0";"";"#GeorgeFloyd";"";"2020-07-30 12:10:20";"District of Columbia";"200mi";"georgesfloyd"
"1268493147627274240";"https://twitter.com/macaroniToney/status/1268493147627274240";"macaroniToney";"";"Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/w9vdswXq via @Change";"2020-06-04 10:41:48";"0";"0";"@Change";"";"";"2020-07-30 12:10:20";"District of Columbia";"200mi";"georgesfloyd"
"1268494959004581888";"https://twitter.com/BroncoBaby10/status/1268494959004581888";"BroncoBaby10";"";"What an a** Meghan McCain Responded After Her Neighbor Called Her Out For Making False Claims About The Black Lives Matter Protests In New York ";"2020-06-04 10:49:00";"0";"0";"";"";"";"2020-07-30 11:54:31";"District of Columbia";"200mi";"BlackLivesMatter"
"1268494991166451712";"https://twitter.com/wellis68/status/1268494991166451712";"wellis68";"";"""Overall, in 2019, 24 percent of all police killings were of black Americans when just 13 percent of the U.S. population is black – an 11-point discrepancy."" #BlackLivesMatter ";"2020-06-04 10:49:08";"0";"1";"";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-30 11:54:31";"District of Columbia";"200mi";"BlackLivesMatter"
"1268496193807581184";"https://twitter.com/_its_DK/status/1268496193807581184";"_its_DK";"BTS_twt";"@BTS_twt #BlackLivesMatter ";"2020-06-04 10:53:54";"0";"0";"@BTS_twt";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-30 11:54:31";"District of Columbia";"200mi";"BlackLivesMatter"
