tweet_created_dt,tweet_text,final_tweet_text,anger,anger_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,anticipation,anticipation_score,trust,trust_score,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score
2020-04-17 12:41:07,Repairing the deep historical and continuing harm done to black people will require deep abiding transformationsTo fulfill the promise that black life matter the United States must change in systemic and not superficial way,"['repairing', 'repair', 'the', 'deep', 'historical', 'and', 'continuing', 'continue', 'harm', 'done', 'do', 'to', 'black', 'people', 'will', 'require', 'deep', 'abiding', 'abide', 'transformations', 'transformation', 'to', 'fulfill', 'the', 'promise', 'that', 'black', 'lives', 'life', 'matter', 'the', 'united', 'states', 'must', 'change', 'in', 'systemic', 'and', 'not', 'superficial', 'ways', 'way']",0.0,0.0,0.0,0.0,2.0,0.917,3.0,1.517,1.0,0.281,0.0,0.0,2.0,0.781,5.0,2.969,trust,5.0,2.969
2020-04-28 19:24:30,Imagine calling Black organizer fake warrior because youre white and tweet that Black Lives Matter I REALLY HAVE TO LAUGH YALL I REALLY DO,"['imagine', 'calling', 'call', 'black', 'organizers', 'organizer', 'fake', 'warriors', 'warrior', 'because', 'you', 're', 'be', 'white', 'and', 'tweet', 'that', 'black', 'lives', 'life', 'matter', 'i', 'really', 'have', 'to', 'laugh', 'yall', 'i', 'really', 'do']",1.0,0.364,0.0,0.0,1.0,0.484,3.0,1.4379999999999997,1.0,0.281,1.0,0.258,1.0,0.23399999999999999,2.0,0.821,joy,3.0,1.4379999999999997
2020-04-30 19:23:01,Cop Smacks 13 Year old in Sicklerville wildfights wildfight wild viral streetfights streetfight schoolfights schoolfight coronavirus crazyfights crazyfight Fights fight girlfights girlfight NewJersey sicklerville BlackLivesMatter Policeviolence racist – at Sicklerville VFW,"['cop', 'smacks', 'smack', '13', 'year', 'old', 'in', 'sicklerville', 'wildfights', 'wildfight', 'wildfight', 'wild', 'viral', 'streetfights', 'streetfight', 'streetfight', 'schoolfights', 'schoolfight', 'schoolfight', 'coronavirus', 'crazyfights', 'crazyfight', 'crazyfight', 'fights', 'fight', 'girlfights', 'girlfight', 'girlfight', 'newjersey', 'sicklerville', 'blacklives', 'matter', 'policeviolence', 'racist', 'at', 'sicklerville', 'vfw']",3.0,2.085,0.0,0.0,2.0,0.9920000000000001,0.0,0.0,0.0,0.0,1.0,0.586,0.0,0.0,2.0,0.907,anger,3.0,2.085
2020-04-30 22:17:32,Im sure the Senate Leader would take time to speak with a bunch of armed Black Lives Matter protestors if they took over the state capitol,"['i', 'm', 'be', 'sure', 'the', 'senate', 'leader', 'would', 'take', 'time', 'to', 'speak', 'with', 'a', 'bunch', 'of', 'armed', 'black', 'lives', 'life', 'matter', 'protestors', 'protestor', 'if', 'they', 'took', 'take', 'over', 'the', 'state', 'capitol']",1.0,0.7,0.0,0.0,1.0,0.703,1.0,0.43799999999999994,1.0,0.281,0.0,0.0,1.0,0.516,3.0,1.524,trust,3.0,1.524
2020-05-01 01:12:29,Exactly BlackLivesMatter,"['exactly', 'blacklivesmatter']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-05-01 05:34:06,Criminal We know the Ugly Truth that for too many Black Lives Dont Matter,"['criminal', 'we', 'know', 'the', 'ugly', 'truth', 'that', 'for', 'too', 'many', 'black', 'lives', 'life', 'dont', 'matter']",1.0,0.7140000000000001,2.0,1.125,1.0,0.7659999999999999,1.0,0.43799999999999994,1.0,0.281,0.0,0.0,0.0,0.0,2.0,1.3210000000000002,trust,2.0,1.3210000000000002
2020-05-05 19:14:31,I am so hurt for this young man and his family No justice no peace BlackLivesMatter too,"['i', 'am', 'be', 'so', 'hurt', 'for', 'this', 'young', 'man', 'and', 'his', 'he', 'family', 'no', 'justice', 'no', 'peace', 'blacklives', 'blacklive', 'matter', 'too']",1.0,0.561,0.0,0.0,1.0,0.688,3.0,1.409,1.0,0.688,1.0,0.16399999999999998,2.0,0.9299999999999999,3.0,1.79,trust,3.0,1.79
2020-05-06 11:34:50,BlackLivesMatter to Jesus A man wa murdered while jogging in broad daylight just because of the color of his skin This is explicit racism If Christians do not stand in opppsition they are at best complicitly racist AhmaudArbery,"['blacklives', 'blacklive', 'matter', 'to', 'jesus', 'a', 'man', 'was', 'be', 'murdered', 'murder', 'while', 'jogging', 'jog', 'in', 'broad', 'daylight', 'just', 'because', 'of', 'the', 'color', 'of', 'his', 'he', 'skin', 'this', 'is', 'be', 'explicit', 'racism', 'if', 'christians', 'do', 'not', 'stand', 'in', 'opppsition', 'they', 'are', 'be', 'at', 'best', 'complicitly', 'racist', 'ahmaudarbery']",1.0,0.897,1.0,0.8390000000000001,1.0,0.9059999999999999,1.0,0.594,1.0,0.828,1.0,0.617,0.0,0.0,1.0,0.47700000000000004,fear,1.0,0.9059999999999999
2020-05-06 19:34:38,Im tired of cry Im tired of living in fear Im tired of wondering which constituent might come for me or my family SayHisName AhmaudArbery BlackLivesMatter,"['i', 'm', 'be', 'tired', 'of', 'crying', 'cry', 'i', 'm', 'be', 'tired', 'of', 'living', 'live', 'in', 'fear', 'i', 'm', 'be', 'tired', 'of', 'wondering', 'wonder', 'which', 'constituent', 'might', 'come', 'for', 'me', 'i', 'or', 'my', 'family', 'sayhisname', 'ahmaudarbery', 'blacklives', 'matter']",1.0,0.5,0.0,0.0,1.0,0.828,4.0,1.824,2.0,1.531,1.0,0.523,0.0,0.0,1.0,0.47700000000000004,joy,4.0,1.824
2020-05-07 04:05:52,On point Share this around the world BlacklivesMatter AllLivesMatter StopThisStupidity,"['on', 'point', 'share', 'this', 'around', 'the', 'world', 'blacklives', 'matter', 'all', 'lives', 'life', 'matter', 'stopthisstupidity']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8759999999999999,0.0,0.0,0.0,0.0,1.0,0.445,2.0,1.063,trust,2.0,1.063
