tweet_id,text,tweet_created_dt,retweets,favorites,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,esn_sentiment,esn_sentiment_count
1267203234571210753,"How in THE FUCK did George Floyd's death result in protests in London, Toronto and in Berlin all of a sudden?! Seriously?!? ",2020-05-31 21:16:09,153,338,"['how', 'in', 'the', 'fuck', 'did', 'george', 'floyd', 'is', 'death', 'result', 'in', 'protests', 'in', 'london', 'toronto', 'and', 'in', 'berlin', 'all', 'of', 'a', 'sudden', 'seriously']","['how', 'in', ""the'"", 'fuck', 'do', 'george', 'floyd', 'be', 'death', 'result', 'in', 'protest', 'in', 'london', 'toronto', 'and', 'in', 'berlin', 'all', 'of', 'a', 'sudden', 'seriously']",surprise,2.0,1.305,amused,12.0,1.803003932051907,joy,4.0
1266946363306229763,Bring water and milk. Sunglasses to protect from flash bombs. Masks. Bandanas. It is NOT our place to destroy. You’d be surprised how little of this supplies there was tonight in Nashville. MAKE YOURSELF USEFUL WITH THE RESOURCES TO PROTECT #BlackLivesMatter ,2020-05-31 04:15:26,148,898,"['bring', 'water', 'and', 'milk', 'sunglasses', 'to', 'protect', 'from', 'flash', 'bombs', 'masks', 'bandanas', 'it', 'is', 'not', 'our', 'place', 'to', 'destroy', 'you', 'would', 'be', 'surprised', 'how', 'little', 'of', 'this', 'supplies', 'there', 'was', 'tonight', 'in', 'nashville', 'make', 'yourself', 'useful', 'with', 'the', 'resources', 'to', 'protect', 'black', 'lives', 'matter']","['bring', 'water', 'and', 'milk', 'sunglass', ""to'"", 'protect', 'from', 'flash', 'bomb', 'mask', 'bandana', 'it', 'be', 'not', 'we', 'place', ""to'"", 'destroy', 'you', 'would', ""be'"", 'surprised', ""how'"", 'little', 'of', 'this', 'supplies', 'there', 'be', 'tonight', 'in', 'nashville', 'make', 'yourself', 'useful', 'with', ""the'"", 'resource', ""to'"", 'protect', 'black', 'life', 'matter']",surprise,2.0,1.656,inspired,28.0,4.855997429014323,joy,14.0
1275427256018624512,Randomly searching to see which retailers are selling #BlackLivesMatter merch &amp; this pops up on @WalmartCanada’s website...,2020-06-23 13:55:28,95,176,"['randomly', 'searching', 'to', 'see', 'which', 'retailers', 'are', 'selling', 'black', 'lives', 'matter', 'merch', 'this', 'pops', 'up', 'on', 'is', 'website']","['randomly', 'search', ""to'"", 'see', 'which', 'retailer', 'be', 'sell', 'black', 'life', 'matter', 'merch', 'this', 'pop', 'up', 'on', 'be', 'website']",surprise,2.0,1.094,amused,16.0,2.935126825887916,joy,5.0
1269035205530189824,"It’s all about him and his imagined greatness. Even the ghost of George Floyd agrees, apparently. It’s hard to imagine the lack empathy, judgment and reality testing that could make him to think these comments are appropriate #TrumpPressConference",2020-06-05 22:35:45,90,290,"['it', 'is', 'all', 'about', 'him', 'and', 'his', 'imagined', 'greatness', 'even', 'the', 'ghost', 'of', 'george', 'floyd', 'agrees', 'apparently', 'it', 'is', 'hard', 'to', 'imagine', 'the', 'lack', 'empathy', 'judgment', 'and', 'reality', 'testing', 'that', 'could', 'make', 'him', 'to', 'think', 'these', 'comments', 'are', 'appropriate', 'trump', 'press', 'conference']","['it', 'be', 'all', 'about', 'he', 'and', 'he', 'imagine', 'greatness', 'even', ""the'"", 'ghost', 'of', 'george', 'floyd', 'agree', 'apparently', 'it', 'be', 'hard', ""to'"", 'imagine', ""the'"", 'lack', 'empathy', 'judgment', 'and', 'reality', 'testing', 'that', 'could', 'make', 'he', ""to'"", 'think', 'these', 'comment', 'be', 'appropriate', 'trump', 'press', 'conference']",surprise,3.0,1.406,inspired,25.0,4.437328511581118,joy,10.0
1266543205245497346,Cheers erupt as protesters hear prisoners at the Metropolitan Corectional Center pound and bang on windows in support. #GeorgeFloyd #Chicago,2020-05-30 01:33:26,34,105,"['cheers', 'erupt', 'as', 'protesters', 'hear', 'prisoners', 'at', 'the', 'metropolitan', 'corectional', 'center', 'pound', 'and', 'bang', 'on', 'windows', 'in', 'support', 'george', 'floyd', 'chicago']","['cheer', 'erupt', 'as', 'protester', 'hear', 'prisoner', 'at', ""the'"", 'metropolitan', 'corectional', 'center', 'pound', 'and', 'bang', 'on', 'window', 'in', 'support', 'george', 'floyd', 'chicago']",surprise,3.0,2.164,inspired,18.0,2.5701114879088305,joy,5.0
1267941958057709569,"Most of the crowd has now taken a knee outside the U.S. Capitol and is chanting #GeorgeFloyd and #BreonnaTaylor’s names. Striking image, especially since the U.S. Senate is in session. – at United States Capitol",2020-06-02 22:11:34,27,68,"['most', 'of', 'the', 'crowd', 'has', 'now', 'taken', 'a', 'knee', 'outside', 'the', 'u.s.', 'capitol', 'and', 'is', 'chanting', 'george', 'floyd', 'and', 'breonnataylor', 'is', 'names', 'striking', 'image', 'especially', 'since', 'the', 'u.s.', 'senate', 'is', 'in', 'session', 'at', 'united', 'states', 'capitol']","['most', 'of', ""the'"", 'crowd', 'have', 'now', 'take', 'a', 'knee', 'outside', ""the'"", 'u.s.', 'capitol', 'and', 'be', 'chant', 'george', 'floyd', 'and', 'breonnataylor', 'be', 'name', 'strike', 'image', 'especially', 'since', ""the'"", 'u.s.', 'senate', 'be', 'in', 'session', 'at', 'united', 'state', 'capitol']",surprise,3.0,1.601,amused,22.0,3.2139810512495868,joy,10.0
1273847916755660801,Outrageous violent arrest of a Latin man shopping in Walmart in Florida with his family. #LatinLivesMatter #BlackLivesMatter ,2020-06-19 05:19:44,24,56,"['outrageous', 'violent', 'arrest', 'of', 'a', 'latin', 'man', 'shopping', 'in', 'walmart', 'in', 'florida', 'with', 'his', 'family', 'latin', 'lives', 'matter', 'black', 'lives', 'matter']","['outrageous', 'violent', 'arrest', 'of', ""a'"", 'latin', 'man', 'shopping', 'in', 'walmart', 'in', 'florida', 'with', 'he', 'family', 'latin', 'life', 'matter', 'black', 'life', 'matter']",surprise,3.0,1.617,annoyed,13.0,2.028435095535614,joy,4.0
1268963988852871169,TRUMP ACTUALLY CONSIDERED IT A GOOD DAY FOR GEORGE FLOYD. HOW IS IT A GOOD DAY WHEN YOU ARE MURDERED?,2020-06-05 17:52:45,23,56,"['trump', 'actually', 'considered', 'it', 'a', 'good', 'day', 'for', 'george', 'floyd', 'how', 'is', 'it', 'a', 'good', 'day', 'when', 'you', 'are', 'murdered']","['trump', 'actually', 'consider', 'it', ""a'"", 'good', 'day', 'for', 'george', 'floyd', 'how', 'be', 'it', 'a', 'good', 'day', 'when', 'you', 'be', 'murder']",surprise,3.0,1.328,amused,10.0,1.5307257045249854,joy,2.0
1265847752996593666,"No wonder these people loot, destroy there own community's while being brainwashed by this type of rhetoric. Total misrepresentation of history not to mention the violent, slave trade of African ancestry guess they never learned about. #GeorgeFloyd #racism #looting",2020-05-28 03:29:57,21,110,"['no', 'wonder', 'these', 'people', 'loot', 'destroy', 'there', 'own', 'community', 'is', 'while', 'being', 'brainwashed', 'by', 'this', 'type', 'of', 'rhetoric', 'total', 'misrepresentation', 'of', 'history', 'not', 'to', 'mention', 'the', 'violent', 'slave', 'trade', 'of', 'african', 'ancestry', 'guess', 'they', 'never', 'learned', 'about', 'george', 'floyd', 'racism', 'looting']","[""no'"", 'wonder', 'these', 'people', 'loot', 'destroy', 'there', 'own', 'community', 'be', 'while', 'be', 'brainwash', 'by', 'this', 'type', 'of', 'rhetoric', 'total', 'misrepresentation', 'of', 'history', 'not', ""to'"", 'mention', ""the'"", 'violent', 'slave', 'trade', 'of', 'african', 'ancestry', 'guess', 'they', 'never', 'learn', 'about', 'george', 'floyd', 'racism', 'looting']",surprise,3.0,1.569,inspired,25.0,4.106565739764173,joy,11.0
1267418494695505920,I guess Russia made Chauvin murder #GeorgeFloyd. #ADOS,2020-06-01 11:31:31,21,95,"['i', 'guess', 'russia', 'made', 'chauvin', 'murder', 'george', 'floyd', 'ados']","['i', 'guess', 'russia', 'make', 'chauvin', 'murder', 'george', 'floyd', 'ados']",surprise,2.0,1.015,afraid,8.0,1.170997359796662,,0.0
