tweet_id,text,tweet_created_dt,retweets,favorites,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,esn_sentiment,esn_sentiment_count
1268341580899004417,"Another remarkable visual: Peaceful #GeorgeFloyd demonstrators here outside the White House are now sitting, phone lights on, singing “Lean On Me” — all while military and federal police stand in front of military vehicles guarding the White House. ",2020-06-04 00:39:32,8840,19711,"['another', 'remarkable', 'visual', 'peaceful', 'george', 'floyd', 'demonstrators', 'here', 'outside', 'the', 'white', 'house', 'are', 'now', 'sitting', 'phone', 'lights', 'on', 'singing', 'lean', 'on', 'me', 'all', 'while', 'military', 'and', 'federal', 'police', 'stand', 'in', 'front', 'of', 'military', 'vehicles', 'guarding', 'the', 'white', 'house']","['another', 'remarkable', 'visual', 'peaceful', 'george', 'floyd', 'demonstrator', 'here', 'outside', ""the'"", 'white', 'house', 'be', 'now', 'sit', 'phone', 'light', 'on', 'singing', 'lean', 'on', ""me'"", 'all', 'while', 'military', 'and', 'federal', 'police', 'stand', 'in', 'front', 'of', 'military', 'vehicle', 'guard', ""the'"", 'white', 'house']",trust,6.0,2.9210000000000003,angry,27.0,3.8998317883896565,joy,11.0
1266059395055661057,"NEW ORLEANS: peaceful protest/march beginning at city putt in city park. saturday june 6 @12pm. protest against our corrupt justice system & murderous police officers, march for george floyd and other victims. see you there, spread the word. #BlackLivesMatter #JusticeForFloyd",2020-05-28 17:30:56,2564,3688,"['new', 'orleans', 'peaceful', 'protest', 'march', 'beginning', 'at', 'city', 'putt', 'in', 'city', 'park', 'saturday', 'june', '6', 'protest', 'against', 'our', 'corrupt', 'justice', 'system', '&', 'murderous', 'police', 'officers', 'march', 'for', 'george', 'floyd', 'and', 'other', 'victims', 'see', 'you', 'there', 'spread', 'the', 'word', 'black', 'lives', 'matter', 'justice', 'for', 'floyd']","['new', 'orleans', 'peaceful', 'protest', 'march', 'beginning', 'at', 'city', 'putt', 'in', 'city', 'park', 'saturday', 'june', '6', 'protest', 'against', ""our'"", 'corrupt', 'justice', 'system', '&', 'murderous', 'police', 'officer', 'march', 'for', 'george', 'floyd', 'and', ""'other"", 'victim', 'see', 'you', 'there', 'spread', ""the'"", 'word', 'black', 'life', 'matter', 'justice', 'for', 'floyd']",trust,7.0,3.812,angry,28.0,4.409340225135705,joy,16.0
1269614695146762240,"We’ve walked this path before, and will continue marching on, hand in hand, elevating our voices, until justice and peace prevail. Thank you for joining me at Black Lives Matter Plaza, in front of the White House, @repjohnlewis. – at The White House",2020-06-07 12:58:26,1849,9230,"['we', 'have', 'walked', 'this', 'path', 'before', 'and', 'will', 'continue', 'marching', 'on', 'hand', 'in', 'hand', 'elevating', 'our', 'voices', 'until', 'justice', 'and', 'peace', 'prevail', 'thank', 'you', 'for', 'joining', 'me', 'at', 'black', 'lives', 'matter', 'plaza', 'in', 'front', 'of', 'the', 'white', 'house', 'at', 'the', 'white', 'house']","[""we'"", 'have', 'walk', 'this', 'path', 'before', 'and', 'will', 'continue', 'marching', 'on', ""hand'"", 'in', ""hand'"", 'elevate', ""our'"", 'voice', 'until', 'justice', 'and', 'peace', 'prevail', 'thank', 'you', 'for', 'join', ""me'"", 'at', 'black', 'life', 'matter', 'plaza', 'in', 'front', 'of', ""the'"", 'white', 'house', 'at', 'the', 'white', 'house']",trust,6.0,3.04,inspired,24.0,4.382380671980823,joy,16.0
1268500389600657408,"The fact that #GeorgeFloyd had and recovered from #COVIDー19 when more than 1 in 2000 Black Americans have died from the virus, then was killed two months later by the police shows the expansive reach of structural racism and white supremacy.",2020-06-04 11:10:35,1489,4502,"['the', 'fact', 'that', 'george', 'floyd', 'had', 'and', 'recovered', 'from', 'covid', 'ー', '19', 'when', 'more', 'than', '1', 'in', '2000', 'black', 'americans', 'have', 'died', 'from', 'the', 'virus', 'then', 'was', 'killed', 'two', 'months', 'later', 'by', 'the', 'police', 'shows', 'the', 'expansive', 'reach', 'of', 'structural', 'racism', 'and', 'white', 'supremacy']","[""the'"", 'fact', 'that', 'george', 'floyd', 'have', 'and', 'recover', 'from', 'covid', 'ー', '19', 'when', 'more', 'than', '1', ""'"", 'in', '2000', 'black', 'americans', 'have', 'die', 'from', ""the'"", 'virus', 'then', 'be', 'kill', ""two'"", 'month', 'later', 'by', ""the'"", 'police', 'show', ""the'"", 'expansive', 'reach', 'of', 'structural', 'racism', 'and', 'white', 'supremacy']",trust,6.0,2.907,angry,25.0,3.5682556287438763,joy,10.0
1268343496727048193,"An image for the history books: Peaceful protestors sing “Lean On Me” as federal and military police look on, standing guard in front of military vehicles parked in front of the White House. #GeorgeFloyd ",2020-06-04 00:47:08,1377,5063,"['an', 'image', 'for', 'the', 'history', 'books', 'peaceful', 'protestors', 'sing', 'lean', 'on', 'me', 'as', 'federal', 'and', 'military', 'police', 'look', 'on', 'standing', 'guard', 'in', 'front', 'of', 'military', 'vehicles', 'parked', 'in', 'front', 'of', 'the', 'white', 'house', 'george', 'floyd']","['a', ""n'"", 'image', 'for', ""the'"", 'history', 'book', 'peaceful', 'protestor', 'sing', 'lean', 'on', 'i', 'as', 'federal', 'and', 'military', 'police', 'look', 'on', 'standing', 'guard', 'in', 'front', 'of', 'military', 'vehicle', 'park', 'in', 'front', 'of', ""the'"", 'white', 'house', 'george', 'floyd']",trust,6.0,2.781,annoyed,24.0,3.457602764534958,joy,11.0
1266514511835607040,"Protest is growing outside the White House. Protesters chant, “Black Lives Matter, “No Justice, No Peace.” They’re outraged over the deaths of George Floyd, Breonna Taylor and other unarmed African Americans in the United States. #GeorgeFloyd #BreonnaTaylor @NBCNews @MSNBC – at The White House",2020-05-29 23:39:24,984,2085,"['protest', 'is', 'growing', 'outside', 'the', 'white', 'house', 'protesters', 'chant', 'black', 'lives', 'matter', 'no', 'justice', 'no', 'peace', 'they', 'are', 'outraged', 'over', 'the', 'deaths', 'of', 'george', 'floyd', 'breonna', 'taylor', 'and', 'other', 'unarmed', 'african', 'americans', 'in', 'the', 'united', 'states', 'george', 'floyd', 'breonna', 'taylor', 'at', 'the', 'white', 'house']","['protest', 'be', 'grow', 'outside', ""the'"", 'white', 'house', 'protester', 'chant', 'black', 'life', 'matter', ""no'"", 'justice', ""no'"", 'peace', 'they', 'be', 'outraged', 'over', ""the'"", 'death', 'of', 'george', 'floyd', 'breonna', 'taylor', 'and', ""'other"", 'unarmed', 'african', 'americans', 'in', ""the'"", 'united', 'state', 'george', 'floyd', 'breonna', 'taylor', 'at', 'the', 'white', 'house']",trust,6.0,3.321,angry,27.0,3.954925596301561,joy,10.0
1265454171437875201,"With Minneapolis police are waging war against civilians simply for demanding justice for George Floyd (while allowing white folks to peacefully protest a virus), just thought I’d share this important info on handling tear gas from pigs. #ftp #icantbreathe #BlackLivesMatters",2020-05-27 01:26:00,935,2719,"['with', 'minneapolis', 'police', 'are', 'waging', 'war', 'against', 'civilians', 'simply', 'for', 'demanding', 'justice', 'for', 'george', 'floyd', 'while', 'allowing', 'white', 'folks', 'to', 'peacefully', 'protest', 'a', 'virus', 'just', 'thought', 'i', 'would', 'share', 'this', 'important', 'info', 'on', 'handling', 'tear', 'gas', 'from', 'pigs', 'ftp', 'icantbreathe', 'black', 'lives', 'matters']","['with', 'minneapolis', 'police', 'be', 'wage', 'war', 'against', 'civilian', 'simply', 'for', 'demand', 'justice', 'for', 'george', 'floyd', 'while', 'allow', 'white', 'folk', ""to'"", 'peacefully', 'protest', ""a'"", 'virus', 'just', 'think', ""i'"", 'would', 'share', 'this', 'important', 'info', 'on', 'handling', 'tear', 'gas', 'from', 'pig', 'ftp', 'icantbreathe', 'black', 'life', 'matter']",trust,8.0,4.18,angry,38.0,5.710951384474456,joy,13.0
1268308331761811456,NEW — Unmarked Officers guarding White House: DC Code requires District personnel policing First Amendment assemblies to be equipped with “enhanced identification” badges. That rule does NOT apply to federal law enforcement officers. #GeorgeFloyd @WUSA9,2020-06-03 22:27:24,879,1754,"['new', 'unmarked', 'officers', 'guarding', 'white', 'house', 'dc', 'code', 'requires', 'district', 'personnel', 'policing', 'first', 'amendment', 'assemblies', 'to', 'be', 'equipped', 'with', 'enhanced', 'identification', 'badges', 'that', 'rule', 'does', 'not', 'apply', 'to', 'federal', 'law', 'enforcement', 'officers', 'george', 'floyd']","[""'new"", 'unmarked', 'officer', 'guard', 'white', 'house', 'dc', 'code', 'require', 'district', 'personnel', 'policing', 'first', 'amendment', 'assembly', ""to'"", ""be'"", 'equip', 'with', 'enhance', 'identification', 'badge', 'that', 'rule', 'do', 'not', 'apply', ""to'"", 'federal', 'law', 'enforcement', 'officer', 'george', 'floyd']",trust,7.0,3.4139999999999997,angry,33.0,5.269436287545021,joy,12.0
1266784942647894017,"So scary— truck drives right through a #BlackLivesMatter protest in Tallahassee. Police have the driver in custody, injuries are being confirmed by reporters on the ground. ",2020-05-30 17:34:00,859,1213,"['so', 'scary', 'truck', 'drives', 'right', 'through', 'a', 'black', 'lives', 'matter', 'protest', 'in', 'tallahassee', 'police', 'have', 'the', 'driver', 'in', 'custody', 'injuries', 'are', 'being', 'confirmed', 'by', 'reporters', 'on', 'the', 'ground']","['scary', 'truck', 'drive', 'right', 'through', 'a', 'black', 'life', 'matter', 'protest', 'in', 'tallahassee', 'police', 'have', ""the'"", 'driver', 'in', 'custody', 'injury', 'be', 'be', 'confirm', 'by', 'reporter', 'on', ""the'"", 'ground']",trust,7.0,3.18,amused,21.0,3.262926607621929,joy,6.0
1268876199016697859,"Black Lives Matters is being painted on 16th St leading up to the White House — by order of @MurielBowser — to reflect this moment and challenge Trump’s encroachment on DC. The Mayor is also expected to expel National Guard personnel staying in DC hotels. Shake the table, Mayor!",2020-06-05 12:03:55,684,1461,"['black', 'lives', 'matters', 'is', 'being', 'painted', 'on', '16th', 'st', 'leading', 'up', 'to', 'the', 'white', 'house', 'by', 'order', 'of', 'to', 'reflect', 'this', 'moment', 'and', 'challenge', 'trump', 'is', 'encroachment', 'on', 'dc', 'the', 'mayor', 'is', 'also', 'expected', 'to', 'expel', 'national', 'guard', 'personnel', 'staying', 'in', 'dc', 'hotels', 'shake', 'the', 'table', 'mayor']","['black', 'life', 'matter', 'be', 'be', 'paint', 'on', '16th', 'st', 'lead', 'up', ""to'"", ""the'"", 'white', 'house', 'by', 'order', 'of', ""to'"", 'reflect', 'this', 'moment', 'and', 'challenge', 'trump', 'be', 'encroachment', 'on', 'dc', ""the'"", 'mayor', 'be', 'also', 'expect', ""to'"", 'expel', 'national', 'guard', 'personnel', 'stay', 'in', 'dc', 'hotel', 'shake', ""the'"", 'table', 'mayor']",trust,6.0,2.8840000000000003,inspired,33.0,5.21069634186122,joy,13.0
